,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
G,3,134,B,87,28,105,1,7,5,T,74,37,106,2,10,2
G,3,135,B,86,27,105,2,7,5,T,75,38,106,1,10,2
G,3,136,B,83,26,106,1,7,4,T,78,39,105,2,10,3
G,3,137,B,82,25,106,2,7,4,T,79,40,105,1,10,3
G,3,138,B,79,8,105,1,2,3,T,82,57,106,2,15,4
G,3,139,B,78,7,105,2,2,3,T,83,58,106,1,15,4
G,3,140,B,75,6,106,1,2,2,T,86,59,105,2,15,5
G,3,141,B,74,5,106,2,2,2,T,87,60,105,1,15,5
G,3,142,B,71,4,105,1,1,1,T,90,61,106,2,16,6
G,3,143,B,70,3,105,2,1,1,T,91,62,106,1,16,6
G,3,144,B,67,2,106,1,1,0,T,94,63,105,2,16,7
G,3,145,B,68,1,106,2,1,0,T,95,64,105,1,16,7
G,4,146,T,95,64,105,1,16,7,B,66,1,106,2,1,0
G,4,147,T,94,63,105,2,16,7,B,67,2,106,1,1,0
G,4,148,T,91,62,106,1,16,6,B,70,3,105,2,1,1
G,4,149,T,90,61,106,2,16,6,B,71,4,105,1,1,1
G,4,150,T,87,60,105,1,15,5,B,74,5,106,2,2,2
G,4,151,T,86,59,105,2,15,5,B,75,6,106,1,2,2
G,4,152,T,83,58,106,1,15,4,B,78,7,105,2,2,3
G,4,153,T,82,57,106,2,15,4,B,79,8,105,1,2,3
G,4,154,T,79,40,105,1,10,3,B,82,25,106,2,7,4
G,4,155,T,78,39,105,2,10,3,B,83,26,106,1,7,4
G,4,156,T,75,38,106,1,10,2,B,86,27,105,2,7,5
G,4,157,T,74,37,106,2,10,2,B,87,28,105,1,7,5
G,4,158,T,71,36,105,1,9,1,B,90,29,106,2,8,6
G,4,159,T,70,35,105,2,9,1,B,91,30,106,1,8,6
G,4,160,T,67,34,106,1,9,0,B,94,31,105,2,8,7
G,4,161,T,66,33,106,2,9,0,B,95,32,105,1,8,7
G,4,162,T,95,16,105,1,4,7,B,66,49,106,2,13,0
G,4,163,T,94,15,105,2,4,7,B,67,50,106,1,13,0
G,4,164,T,91,14,106,1,4,6,B,70,51,105,2,13,1
G,4,165,T,90,13,106,2,4,6,B,71,52,105,1,13,1
G,4,166,T,87,12,105,1,3,5,B,74,53,106,2,14,2
G,4,167,T,86,11,105,2,3,5,B,75,54,106,1,14,2
G,4,168,T,83,10,106,1,3,4,B,78,55,105,2,14,3
G,4,169,T,82,9,106,2,3,4,B,79,56,105,1,14,3
G,4,170,B,79,56,105,1,14,3,T,82,9,106,2,3,4
G,4,171,B,78,55,105,2,14,3,T,83,10,106,1,3,4
G,4,172,B,75,54,106,1,14,2,T,86,11,105,2,3,5
G,4,173,B,74,53,106,2,14,2,T,87,12,105,1,3,5
G,4,174,B,71,52,105,1,13,1,T,90,13,106,2,4,6
G,4,175,B,70,51,105,2,13,1,T,91,14,106,1,4,6
G,4,176,B,67,50,106,1,13,0,T,94,15,105,2,4,7
G,4,177,B,66,49,106,2,13,0,T,95,16,105,1,4,7
G,4,178,B,95,32,105,1,8,7,T,66,33,106,2,9,0
G,4,179,B,94,31,105,2,8,7,T,67,34,106,1,9,0
G,4,180,B,91,30,106,1,8,6,T,70,35,105,2,9,1
G,4,181,B,90,29,106,2,8,6,T,71,36,105,1,9,1
G,4,182,B,87,28,105,1,7,5,T,74,37,106,2,10,2
G,4,183,B,86,27,105,2,7,5,T,75,38,106,1,10,2
G,4,184,B,83,26,106,1,7,4,T,78,39,105,2,10,3
G,4,185,B,82,25,106,2,7,4,T,79,40,105,1,10,3
G,4,186,B,79,8,105,1,2,3,T,82,57,106,2,15,4
G,4,187,B,78,7,105,2,2,3,T,83,58,106,1,15,4
G,4,188,B,75,6,106,1,2,2,T,86,59,105,2,15,5
G,4,189,B,74,5,106,2,2,2,T,87,60,105,1,15,5
G,4,190,B,71,4,105,1,1,1,T,90,61,106,2,16,6
G,4,191,B,70,3,105,2,1,1,T,91,62,106,1,16,6
G,4,192,B,67,2,106,1,1,0,T,94,63,105,2,16,7
G,4,193,B,68,1,106,2,1,0,T,95,64,105,1,16,7
G,5,194,T,95,64,105,1,16,7,B,66,1,106,2,1,0
G,5,195,T,94,63,105,2,16,7,B,67,2,106,1,1,0
G,5,196,T,91,62,106,1,16,6,B,70,3,105,2,1,1
G,5,197,T,90,61,106,2,16,6,B,71,4,105,1,1,1
G,5,198,T,87,60,105,1,15,5,B,74,5,106,2,2,2
G,5,199,T,86,59,105,2,15,5,B,75,6,106,1,2,2
G,5,200,T,83,58,106,1,15,4,B,78,7,105,2,2,3
G,5,201,T,82,57,106,2,15,4,B,79,8,105,1,2,3
G,5,202,T,79,40,105,1,10,3,B,82,25,106,2,7,4
G,5,203,T,78,39,105,2,10,3,B,83,26,106,1,7,4
G,5,204,T,75,38,106,1,10,2,B,86,27,105,2,7,5
G,5,205,T,74,37,106,2,10,2,B,87,28,105,1,7,5
G,5,206,T,71,36,105,1,9,1,B,90,29,106,2,8,6
G,5,207,T,70,35,105,2,9,1,B,91,30,106,1,8,6
G,5,208,T,67,34,106,1,9,0,B,94,31,105,2,8,7
G,5,209,T,66,33,106,2,9,0,B,95,32,105,1,8,7
G,5,210,T,95,16,105,1,4,7,B,66,49,106,2,13,0
