,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
U,6,191,T,94,31,105,2,8,7,B,67,34,106,1,9,0
U,6,192,T,95,32,105,1,8,7,B,66,33,106,2,9,0
U,6,193,T,66,49,106,2,13,0,B,95,16,105,1,4,7
U,6,194,T,67,50,106,1,13,0,B,94,15,105,2,4,7
U,6,195,T,70,51,105,2,13,1,B,91,14,106,1,4,6
U,6,196,T,71,52,105,1,13,1,B,90,13,106,2,4,6
U,6,197,T,74,53,106,2,14,2,B,87,12,105,1,3,5
U,6,198,T,75,54,106,1,14,2,B,86,11,105,2,3,5
U,6,199,T,78,55,105,2,14,3,B,83,10,106,1,3,4
U,6,200,T,79,56,105,1,14,3,B,82,9,106,2,3,4
U,5,201,B,66,17,106,2,5,0,T,95,48,105,1,12,7
U,5,202,B,67,18,106,1,5,0,T,94,47,105,2,12,7
U,5,203,B,70,19,105,2,5,1,T,91,46,106,1,12,6
U,5,204,B,71,20,105,1,5,1,T,90,45,106,2,12,6
U,5,205,B,74,21,106,2,6,2,T,87,44,105,1,11,5
U,5,206,B,75,22,106,1,6,2,T,86,43,105,2,11,5
U,5,207,B,78,23,105,2,6,3,T,83,42,106,1,11,4
U,5,208,B,79,24,105,1,6,3,T,82,41,106,2,11,4
U,5,209,B,82,41,106,2,11,4,T,79,24,105,1,6,3
U,5,210,B,83,42,106,1,11,4,T,78,23,105,2,6,3
U,5,211,B,86,43,105,2,11,5,T,75,22,106,1,6,2
U,5,212,B,87,44,105,1,11,5,T,74,21,106,2,6,2
U,5,213,B,90,45,106,2,12,6,T,71,20,105,1,5,1
U,5,214,B,91,46,106,1,12,6,T,70,19,105,2,5,1
U,5,215,B,94,47,105,2,12,7,T,67,18,106,1,5,0
U,5,216,B,95,48,105,1,12,7,T,66,17,106,2,5,0
U,5,217,T,66,1,106,2,1,0,B,95,64,105,1,16,7
U,5,218,T,67,2,106,1,1,0,B,94,63,105,2,16,6
U,5,219,T,70,3,105,2,1,1,B,91,62,106,1,16,6
U,5,220,T,71,4,105,1,1,1,B,90,61,106,2,16,6
U,5,221,T,74,5,106,2,2,2,B,87,60,105,1,15,5
U,5,222,T,75,6,106,1,2,2,B,86,59,105,2,15,5
U,5,223,T,78,7,105,2,2,3,B,83,58,106,1,15,4
U,5,224,T,79,8,105,1,2,3,B,82,57,106,2,15,4
U,5,225,T,82,25,106,2,7,4,B,79,40,105,1,10,3
U,5,226,T,83,26,106,1,7,4,B,78,39,105,2,10,3
U,5,227,T,86,27,105,2,7,5,B,75,38,106,1,10,2
U,5,228,T,87,28,105,1,7,5,B,74,37,106,2,10,2
U,5,229,T,90,29,106,2,8,6,B,71,36,105,1,9,1
U,5,230,T,91,30,106,1,8,6,B,70,35,105,2,9,1
U,5,231,T,94,31,105,2,8,7,B,67,34,106,1,9,0
U,5,232,T,95,32,105,1,8,7,B,66,33,106,2,9,0
U,5,233,T,66,49,106,2,13,0,B,95,16,105,1,4,7
U,5,234,T,67,50,106,1,13,0,B,94,15,105,2,4,7
U,5,235,T,70,51,105,2,13,1,B,91,14,106,1,4,6
U,5,236,T,71,52,105,1,13,1,B,90,13,106,2,4,6
U,5,237,T,74,53,106,2,14,2,B,87,12,105,1,3,5
U,5,238,T,75,54,106,1,14,2,B,86,11,105,2,3,5
U,5,239,T,78,55,105,2,14,3,B,83,10,106,1,3,4
U,5,240,T,79,56,105,1,14,3,B,82,9,106,2,3,4
U,4,241,B,66,17,106,2,5,0,T,95,48,105,1,12,7
U,4,242,B,67,18,106,1,5,0,T,94,47,105,2,12,7
U,4,243,B,70,19,105,2,5,1,T,91,46,106,1,12,6
U,4,244,B,71,20,105,1,5,1,T,90,45,106,2,12,6
U,4,245,B,74,21,106,2,6,2,T,87,44,105,1,11,5
U,4,246,B,75,22,106,1,6,2,T,86,43,105,2,11,5
U,4,247,B,78,23,105,2,6,3,T,83,42,106,1,11,4
U,4,248,B,79,24,105,1,6,3,T,82,41,106,2,11,4
U,4,249,B,82,41,106,2,11,4,T,79,24,105,1,6,3
U,4,250,B,83,42,106,1,11,4,T,78,23,105,2,6,3
U,4,251,B,86,43,105,2,11,5,T,75,22,106,1,6,2
U,4,252,B,87,44,105,1,11,5,T,74,21,106,2,6,2
U,4,253,B,90,45,106,2,12,6,T,71,20,105,1,5,1
U,4,254,B,91,46,106,1,12,6,T,70,19,105,2,5,1
U,4,255,B,94,47,105,2,12,7,T,67,18,106,1,5,0
U,4,256,B,95,48,105,1,12,7,T,66,17,106,2,5,0
