,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
V,4,153,B,95,16,105,1,4,7,T,66,49,106,2,13,0
V,4,154,B,94,15,105,2,4,7,T,67,50,106,1,13,0
V,4,155,B,91,14,106,1,4,6,T,70,51,105,2,13,1
V,4,156,B,90,13,106,2,4,6,T,71,52,105,1,13,1
V,4,157,B,87,12,105,1,3,5,T,74,53,106,2,14,2
V,4,158,B,86,11,105,2,3,5,T,75,54,106,1,14,2
V,4,159,B,83,10,106,1,3,4,T,78,55,105,2,14,3
V,4,160,B,82,9,106,2,3,4,T,79,56,105,1,14,3
V,5,161,T,95,48,105,1,12,7,B,66,17,106,2,5,0
V,5,162,T,94,47,105,2,12,7,B,67,18,106,1,5,0
V,5,163,T,91,46,106,1,12,6,B,70,19,105,2,5,1
V,5,164,T,90,45,106,2,12,6,B,71,20,105,1,5,1
V,5,165,T,87,44,105,1,11,5,B,74,21,106,2,6,2
V,5,166,T,86,43,105,2,11,5,B,75,22,106,1,6,2
V,5,167,T,83,42,106,1,11,4,B,78,23,105,2,6,3
V,5,168,T,82,41,106,2,11,4,B,79,24,105,1,6,3
V,5,169,T,79,24,105,1,6,3,B,82,41,106,2,11,4
V,5,170,T,78,23,105,2,6,3,B,83,42,106,1,11,4
V,5,171,T,75,22,106,1,6,2,B,86,43,105,2,11,5
V,5,172,T,74,21,106,2,6,2,B,87,44,105,1,11,5
V,5,173,T,71,20,105,1,5,1,B,90,45,106,2,12,6
V,5,174,T,70,19,105,2,5,1,B,91,46,106,1,12,6
V,5,175,T,67,18,106,1,5,0,B,94,47,105,2,12,7
V,5,176,T,66,17,106,2,5,0,B,95,48,105,1,12,7
V,5,177,B,95,64,105,1,16,7,T,66,1,106,2,1,0
V,5,178,B,94,63,105,2,16,7,T,67,2,106,1,1,0
V,5,179,B,91,62,106,1,16,6,T,70,3,105,2,1,1
V,5,180,B,90,61,106,2,16,6,T,71,4,105,1,1,1
V,5,181,B,87,60,105,1,15,5,T,74,5,106,2,2,2
V,5,182,B,86,59,105,2,15,5,T,75,6,106,1,2,2
V,5,183,B,83,58,106,1,15,4,T,78,7,105,2,2,3
V,5,184,B,82,57,106,2,15,4,T,79,8,105,1,2,3
V,5,185,B,79,40,105,1,10,3,T,82,25,106,2,7,4
V,5,186,B,78,39,105,2,10,3,T,83,26,106,1,7,4
V,5,187,B,75,38,106,1,10,2,T,86,27,105,2,7,5
V,5,188,B,74,37,106,2,10,2,T,87,28,105,1,7,5
V,5,189,B,71,36,105,1,9,1,T,90,29,106,2,8,6
V,5,190,B,70,35,105,2,9,1,T,91,30,106,1,8,6
V,5,191,B,67,34,106,1,9,0,T,94,31,105,2,8,7
V,5,192,B,66,33,106,2,9,0,T,95,32,105,1,8,7
V,5,193,B,95,16,105,1,4,7,T,66,49,106,2,13,0
V,5,194,B,94,15,105,2,4,7,T,67,50,106,1,13,0
V,5,195,B,91,14,106,1,4,6,T,70,51,105,2,13,1
V,5,196,B,90,13,106,2,4,6,T,71,52,105,1,13,1
V,5,197,B,87,12,105,1,3,5,T,74,53,106,2,14,2
V,5,198,B,86,11,105,2,3,5,T,75,54,106,1,14,2
V,5,199,B,83,10,106,1,3,4,T,78,55,105,2,14,3
V,5,200,B,82,9,106,2,3,4,T,79,56,105,1,14,3
V,6,201,T,95,48,105,1,12,7,B,66,17,106,2,5,0
V,6,202,T,94,47,105,2,12,7,B,67,18,106,1,5,0
V,6,203,T,91,46,106,1,12,6,B,70,19,105,2,5,1
V,6,204,T,90,45,106,2,12,6,B,71,20,105,1,5,1
V,6,205,T,87,44,105,1,11,5,B,74,21,106,2,6,2
V,6,206,T,86,43,105,2,11,5,B,75,22,106,1,6,2
V,6,207,T,83,42,106,1,11,4,B,78,23,105,2,6,3
V,6,208,T,82,41,106,2,11,4,B,79,24,105,1,6,3
V,6,209,T,79,24,105,1,6,3,B,82,41,106,2,11,4
V,6,210,T,78,23,105,2,6,3,B,83,42,106,1,11,4
V,6,211,T,75,22,106,1,6,2,B,86,43,105,2,11,5
V,6,212,T,74,21,106,2,6,2,B,87,44,105,1,11,5
V,6,213,T,71,20,105,1,5,1,B,90,45,106,2,12,6
V,6,214,T,70,19,105,2,5,1,B,91,46,106,1,12,6
V,6,215,T,67,18,106,1,5,0,B,94,47,105,2,12,7
V,6,216,T,66,17,106,2,5,0,B,95,48,105,1,12,7
V,6,217,B,95,64,105,1,16,7,T,66,1,106,2,1,0
V,6,218,B,94,63,105,2,16,7,T,67,2,106,1,1,0
V,6,219,B,91,62,106,1,16,6,T,70,3,105,2,1,1
V,6,220,B,90,61,106,2,16,6,T,71,4,105,1,1,1
V,6,221,B,87,60,105,1,15,5,T,74,5,106,2,2,2
V,6,222,B,86,59,105,2,15,5,T,75,6,106,1,2,2
V,6,223,B,83,58,106,1,15,4,T,78,7,105,2,2,3
V,6,224,B,82,57,106,2,15,4,T,79,8,105,1,2,3
V,6,225,B,79,40,105,1,10,3,T,82,25,106,2,7,4
V,6,226,B,78,39,105,2,10,3,T,83,26,106,1,7,4
V,6,227,B,75,38,106,1,10,2,T,86,27,105,2,7,5
V,6,228,B,74,37,106,2,10,2,T,87,28,105,1,7,5
V,6,229,B,71,36,105,1,9,1,T,90,29,106,2,8,6
V,6,230,B,70,35,105,2,9,1,T,91,30,106,1,8,6
V,6,231,B,67,34,106,1,9,0,T,94,31,105,2,8,7
V,6,232,B,66,33,106,2,9,0,T,95,32,105,1,8,7
V,6,233,B,95,16,105,1,4,7,T,66,49,106,2,13,0
V,6,234,B,94,15,105,2,4,7,T,67,50,106,1,13,0
V,6,235,B,91,14,106,1,4,6,T,70,51,105,2,13,1
V,6,236,B,90,13,106,2,4,6,T,71,52,105,1,13,1
V,6,237,B,87,12,105,1,3,5,T,74,53,106,2,14,2
V,6,238,B,86,11,105,2,3,5,T,75,54,106,1,14,2
V,6,239,B,83,10,106,1,3,4,T,78,55,105,2,14,3
V,6,240,B,82,9,106,2,3,4,T,79,56,105,1,14,3
V,7,241,T,95,48,105,1,12,7,B,66,17,106,2,5,0
