Sample in Buffer,Sample in Window,TRIGGER,fifoAutoDC_ren,fifoAutoDC_dout[15:0],m_axis_tid[4:0]
1000,1000,0,1,ffab,18
1001,1001,0,1,ffdc,18
1002,1002,0,1,ffcc,18
1003,1003,0,1,ffd0,18
1004,1004,0,1,ffdf,18
1005,1005,0,1,ffe4,18
1006,1006,0,1,ffec,18
1007,1007,0,1,0005,18
1008,1008,0,1,0011,18
1009,1009,0,1,0011,18
1010,1010,0,1,001b,18
1011,1011,0,1,0038,18
1012,1012,0,1,0039,18
1013,1013,0,1,0054,18
1014,1014,0,1,0048,18
1015,1015,0,1,005f,18
1016,1016,0,1,005b,18
1017,1017,0,1,0091,18
1018,1018,0,1,0097,18
1019,1019,0,1,00a8,18
1020,1020,0,1,00a8,18
1021,1021,0,1,00a3,18
1022,1022,0,1,00a6,18
1023,1023,0,1,00d7,18
